,d(18_16)Mean,d(D_H)Mean,H2O_Mean,d(D_H)_driftcorrected,d(18_16)_driftcorrected,d(18_16)_normalized,d(D_H)_normalized,Identifier1,d(18_16)_stddev,d(D_H)_stddev
0,-9.8725,57.158500000000004,18095.75,57.46054775319658,-9.70413424477969,-8.388462844240884,108.57796800425814,                                YF-T-2-2,0.02318895681496104,0.18936110552856103
1,-9.968,-11.38875,19002.5,-10.98343805767638,-9.742073302824029,-8.439262383223632,21.617403392203297,                               BG-soil-2,0.06615779375246453,0.9032903256583259
2,-9.368,-24.564999999999998,17943.5,-24.2113201522399,-9.17085377380186,-7.674412378293212,4.810899768298365,                               TF-soil-2,0.1385232083273885,2.089687429017079
3,-12.2725,-74.32325,17452.0,-73.86630596311286,-12.017792831846197,-11.48639926240639,-58.27755936745123,                               YF-soil-2,0.5609982258089989,3.6790411905467435
4,-11.02225,-88.49000000000001,19278.5,-88.29121643593045,-10.911445186735351,-10.00502483659444,-76.60493093024658,                            BERKELEY TAP,0.006659739923963818,0.12377257991718513
5,-12.756,148.92600000000002,19081.5,149.48620822601418,-12.443731889890534,-12.056722008904483,225.49990495320463,                            Fog tracer-2,0.035208106475204275,1.1364660144797278
6,-13.908,-104.96175,18884.5,-104.45317386854934,-13.624512360868366,-13.637760301826862,-97.13928361187058,                        Greenhouse tap-2,0.07922159885872679,0.4008643899137451
